idx,avg_neg_mean,avg_neg_std,degree_mean,fiedler_mean,graph_type,pseudo_count
8,0.0481816655850601,0.0008899081513374847,4.0,0.11359006384280859,smallworld,40
9,0.05694623670590672,0.020334975240394775,4.4,0.12669802117076784,smallworld,40
10,0.04818166558506011,0.0008899081513374864,4.8,0.13696687191566043,smallworld,40
11,0.0481816655850601,0.000889908151337485,4.2,0.1404678685953174,smallworld,40
12,0.04818166558506011,0.0008899081513374838,3.6,0.17137432197499652,smallworld,40
13,0.0481816655850601,0.0008899081513374833,4.2,0.15869873051920885,smallworld,40
14,0.04818166558506011,0.0008899081513374889,3.8,0.1688936539177258,smallworld,40
15,0.04818166558506011,0.000889908151337486,3.6,0.15012581021439775,smallworld,40
16,0.0481816655850601,0.0008899081513374836,4.0,0.17723710617523264,smallworld,40
17,0.04818166558506011,0.0008899081513374866,3.6,0.14576843991110136,smallworld,40
18,0.0481816655850601,0.0008899081513374854,3.8,0.15127127386094866,smallworld,40
19,0.04818166558506011,0.0008899081513374865,4.4,0.14063491792100935,smallworld,40
20,0.04818166558506011,0.0008899081513374812,4.2,0.12057455897010232,smallworld,40
21,0.04818166558506011,0.0008899081513374818,4.6,0.11533005076211553,smallworld,40
22,0.048181665585060096,0.0008899081513374878,4.2,0.09107238128916448,smallworld,40
23,0.04818166558506011,0.0008899081513374814,3.8,0.0971220839142029,smallworld,40
24,0.048181665585060096,0.0008899081513374912,3.6,0.07246646630083349,smallworld,40
25,0.04818166558506011,0.0008899081513374844,4.2,0.06503125821459856,smallworld,40
26,0.0481816655850601,0.0008899081513374841,4.2,0.04750990816755337,smallworld,40
27,0.0481816655850601,0.0008899081513374876,4.2,0.05413455815337785,smallworld,40
28,0.0481816655850601,0.0008899081513374881,3.4,0.0388107518432861,smallworld,40
29,0.0481816655850601,0.0008899081513374738,3.8,0.06512824504198991,smallworld,40
30,0.0481816655850601,0.0008899081513374878,4.0,0.0637841015593384,smallworld,40
31,0.04891794846090635,0.002045141882254208,3.8,0.0954570673261566,smallworld,40
32,0.0481816655850601,0.0008899081513374818,3.4,0.07610390271439514,smallworld,40
33,0.04818166558506011,0.0008899081513374904,4.6,0.09802285015851434,smallworld,40
34,0.04818166558506011,0.0008899081513374825,4.0,0.13294857126989634,smallworld,40
35,0.04818166558506011,0.000889908151337486,4.0,0.15478198689787578,smallworld,40
36,0.04950914161504112,0.0032907586783114426,4.0,0.1645853841132754,smallworld,40
37,0.0481816655850601,0.0008899081513374852,4.2,0.16549464504709085,smallworld,40
38,0.048181665585060096,0.000889908151337482,4.0,0.15904887428991987,smallworld,40
39,0.04818166558506011,0.0008899081513374844,4.4,0.15146666822208293,smallworld,40
0,0.0485379725151449,0.004208716084982688,4.4,0.025197632483409095,erdos,24
1,0.05952121687139174,0.027814738661609575,3.0,0.025197632483409588,erdos,24
2,0.04853797251514487,0.004208716084982689,3.0,0.025197632483409116,erdos,24
3,0.06581155448704931,0.02499262220950959,2.8,0.025197632483409595,erdos,24
4,0.06297041730768468,0.0362424429114481,4.8,0.02519763248340935,erdos,24
5,0.06711193331815049,0.028163793307029162,4.0,0.025197632483409605,erdos,24
6,0.04853797251514487,0.004208716084982685,3.0,0.025197632483409487,erdos,24
7,0.06463897710250688,0.03711703607814939,2.8,0.02519763248340956,erdos,24
8,0.04853797251514487,0.004208716084982686,1.8,0.025197632483409515,erdos,24
9,0.04853797251514487,0.004208716084982696,3.8,0.025197632483409595,erdos,24
